session_id,session_name,session_date,session_release,participant_ID,participant_info,participant_description,participant_birthdate,participant_gender,participant_race,participant_ethnicity,participant_language,participant_state,vol_id
14119,NA,2016-09-30,EXCERPTS,2016-269,Video,WiS First,2008-11-01,Male,White,Unknown or not reported,English,PA,253
14120,NA,2016-09-30,SHARED,2016-270,Video,WiS First,2008-09-02,Male,White,Unknown or not reported,English,PA,253
14121,NA,2016-09-30,EXCERPTS,2016-272,Video,Butterfly First,2009-09-04,Female,White,Unknown or not reported,English,PA,253
14122,NA,2016-XX-XX,PRIVATE,2016-273,Video,WiS First,NA,Female,Asian,Unknown or not reported,English,PA,253
14123,NA,2016-09-30,EXCERPTS,2016-274,Video,WiS First,2011-05-09,Male,Black or African American,Unknown or not reported,English,PA,253
14124,NA,2016-09-30,EXCERPTS,2016-275,Video,WiS First,2007-06-27,Male,Black or African American,Unknown or not reported,English,PA,253
14125,NA,2016-09-30,SHARED,2016-276,Video,WiS First,2010-08-06,Female,White,Unknown or not reported,English,PA,253
14126,NA,2016-09-30,SHARED,2016-277,Video,WiS FIrst,2008-03-13,Female,White,Unknown or not reported,English,PA,253
14127,NA,2016-XX-XX,PRIVATE,2016-278,Video,Butterfly First,NA,Male,White,Unknown or not reported,English,PA,253
14128,NA,2016-XX-XX,PRIVATE,2016-279,Video,WiS First,NA,Male,White,Unknown or not reported,English,PA,253
14151,NA,2016-10-04,EXCERPTS,2016-281,Video,WiS First,2010-09-27,Female,White,Not Hispanic or Latino,English,PA,253
14152,NA,2016-10-04,EXCERPTS,2016-282,Video,Butterfly First,2010-10-06,Male,White,Unknown or not reported,English,PA,253
14153,NA,2016-10-04,EXCERPTS,2016-283,Video,Butterfly First,2010-11-10,Female,White,Not Hispanic or Latino,English,PA,253
14154,NA,2016-XX-XX,PRIVATE,2016-284,Video,WiS First,NA,Female,White,Unknown or not reported,English,PA,253
14155,NA,2016-XX-XX,PRIVATE,2016-285,Video,Butterfly First,NA,Female,White,Not Hispanic or Latino,English,PA,253
14156,NA,2016-10-04,EXCERPTS,2016-286,Video,WiS First,2010-10-27,Female,More than one,Hispanic or Latino,English,PA,253
14157,NA,2016-XX-XX,NA,2016-287,Video,Butterfly First,NA,Male,White,Unknown or not reported,English,PA,253
14158,NA,2016-10-04,EXCERPTS,2016-288,Video,Butterfly First,2011-09-28,Male,White,Unknown or not reported,English,PA,253
14159,NA,2016-10-04,EXCERPTS,2016-289,Video,WiS First,2012-06-30,Female,White,Unknown or not reported,English,PA,253
14160,NA,2016-10-04,EXCERPTS,2016-290,Video,Butterfly First,2010-09-14,Male,White,Unknown or not reported,English,PA,253
14435,NA,2016-XX-XX,NA,2016-296,Video,Butterfly First,NA,Male,Black or African American,Unknown or not reported,English,PA,253
14436,NA,2016-10-15,EXCERPTS,2016-297,Video,Butterfly First,2010-10-14,Female,Black or African American,Unknown or not reported,English,PA,253
14437,NA,2016-XX-XX,PRIVATE,2016-299,Video,Butterfly First,NA,Female,White,Not Hispanic or Latino,English,PA,253
14438,NA,2016-XX-XX,PRIVATE,2016-300,Video,WiS First,NA,Female,White,Unknown or not reported,English,PA,253
14439,NA,2016-10-15,EXCERPTS,2016-301,Video,Butterfly First,2008-03-04,Female,Black or African American,Unknown or not reported,English,PA,253
14440,NA,2016-10-15,SHARED,2016-302,Video,Butterfly First,2009-05-16,Female,More than one,Unknown or not reported,English,PA,253
14441,NA,2016-10-15,SHARED,2016-303,Video,Butterfly First,2011-07-15,Female,Black or African American,Hispanic or Latino,English,PA,253
14442,NA,2016-10-15,SHARED,2016-304,Video,WiS First,2010-06-20,Male,More than one,Unknown or not reported,English,PA,253
14443,NA,2016-10-15,EXCERPTS,2016-305,Video,WiS First,2010-10-05,Male,White,Unknown or not reported,English,PA,253
14444,NA,2016-10-15,SHARED,2016-306,Video,WiS First,2009-12-04,Male,Asian,Not Hispanic or Latino,English,PA,253
14445,NA,2016-10-15,SHARED,2016-307,Video,WiS First,2007-06-21,Female,Asian,Not Hispanic or Latino,English,PA,253
14729,NA,2016-11-01,EXCERPTS,2016-330,Audio,WiS First,2012-03-17,Male,Unknown or not reported,Not Hispanic or Latino,English,PA,253
14730,NA,2016-11-01,EXCERPTS,2016-331,Video,WiS First,2012-06-23,Female,White,Unknown or not reported,English,PA,253
14732,NA,2016-11-01,EXCERPTS,2016-333,Video,Butterfly First,2016-09-17,Female,White,Unknown or not reported,English,PA,253
14926,NA,2016-11-09,EXCERPTS,2016-352,Video,WiS First,2012-02-19,Female,White,Unknown or not reported,English,PA,253
14927,NA,2016-11-09,EXCERPTS,2016-353,Audio,Butterfly First,2012-10-05,Male,White,Not Hispanic or Latino,English,PA,253
14928,NA,2016-11-09,EXCERPTS,2016-354,Video,Butterfly First,2012-07-11,Female,White,Unknown or not reported,English,PA,253
14929,NA,2016-11-09,EXCERPTS,2016-355,Video,Butterfly First,2012-07-11,Male,White,Unknown or not reported,English,PA,253
14930,NA,2016-11-09,EXCERPTS,2016-356,Video,WiS First,2012-08-24,Female,White,Unknown or not reported,English,PA,253
14931,NA,2016-11-09,EXCERPTS,2016-357,Video,Butterfly First,2012-02-05,Male,White,Not Hispanic or Latino,English,PA,253
15206,NA,2016-11-16,SHARED,2016-368,Audio,Butterfly First,2012-11-08,Female,White,Unknown or not reported,English,PA,253
15207,NA,2016-11-16,EXCERPTS,2016-369,Video,WiS First,2012-06-18,Female,Asian,Not Hispanic or Latino,English,PA,253
15208,NA,2016-11-16,EXCERPTS,2016-370,Video,WiS First,2012-09-01,Female,White,Unknown or not reported,English,PA,253
15236,NA,2016-XX-XX,PRIVATE,2016-379,Audio,Butterfly First,NA,Female,White,Unknown or not reported,English,PA,253
15237,NA,2016-11-19,EXCERPTS,2016-380,Video,WiS First,2010-08-20,Male,White,Hispanic or Latino,English,PA,253
15238,NA,2016-XX-XX,PRIVATE,2016-381,Video,Butterfly First,NA,Male,Black or African American,Unknown or not reported,English,PA,253
15239,NA,2016-11-19,EXCERPTS,2016-382,Video,WiS First,2009-05-06,Female,Unknown or not reported,Hispanic or Latino,English,PA,253
15240,NA,2016-XX-XX,PRIVATE,2016-384,Video,Butterfly First,NA,Male,More than one,Unknown or not reported,English,PA,253
15241,NA,2016-11-19,EXCERPTS,2016-385,Video,Butterfly FIrst,2010-02-04,Male,Unknown or not reported,Unknown or not reported,English,PA,253
15242,NA,2016-XX-XX,NA,2016-386,Video,Butterfly First,NA,Female,Unknown or not reported,Unknown or not reported,English,PA,253
15243,NA,2016-XX-XX,NA,2016-387,Video,Butterfly First,NA,Female,Unknown or not reported,Unknown or not reported,English,PA,253
15244,NA,2016-11-19,SHARED,2016-388,Audio,Butterfly First,2009-08-22,Female,Black or African American,Hispanic or Latino,English,PA,253
15245,NA,2016-XX-XX,PRIVATE,2016-389,Video,Wis First,NA,Male,Unknown or not reported,Unknown or not reported,English,PA,253
16262,NA,2017-XX-XX,NA,2017-043,Video,Wis First,NA,Male,White,Not Hispanic or Latino,English,PA,253
16264,NA,2017-02-18,EXCERPTS,2017-045,Video,Butterfly first,8-06-05,Male,White,Unknown or not reported,English,PA,253
16265,NA,2017-XX-XX,PRIVATE,2017-046,Video,WiS First,NA,Female,White,Unknown or not reported,English,PA,253
16266,NA,2017-XX-XX,PRIVATE,2017-047,Video,WiS First,NA,Male,Black or African American,Unknown or not reported,English,PA,253
16267,NA,2017-XX-XX,PRIVATE,2017-048,Video,Butterfly First,NA,Female,White,Not Hispanic or Latino,English,PA,253
16268,NA,2017-XX-XX,PRIVATE,2017-049,Video,Butterfly First,NA,Male,White,Not Hispanic or Latino,English,PA,253
16270,NA,2017-XX-XX,PRIVATE,2017-051,Video,WiS First,NA,Male,White,Not Hispanic or Latino,English,PA,253
16271,NA,2017-02-18,EXCERPTS,2017-052,Audio,Butterfly First,2006-06-17,Male,White,Not Hispanic or Latino,English,PA,253
16272,NA,2017-02-18,EXCERPTS,2017-053,Audio,Butterfly First,2005-03-05,Male,White,Not Hispanic or Latino,English,PA,253
16273,NA,2017-XX-XX,NA,2017-054,Video,WiS First,NA,Female,Black or African American,Unknown or not reported,English,PA,253
16276,NA,2017-XX-XX,NA,2017-057,Video,Butterfly First,NA,Female,White,Not Hispanic or Latino,English,PA,253
16277,NA,2017-XX-XX,NA,2017-058,Video,WiS First,NA,Female,White,Not Hispanic or Latino,English,NA,253
16508,NA,2017-XX-XX,PRIVATE,2017-070,Audio,WiS First,NA,Female,White,Hispanic or Latino,English,PA,253
16509,NA,2017-03-18,SHARED,2017-071,Video,Butterfly First,2011-09-27,Female,White,Unknown or not reported,English,PA,253
16510,NA,2017-03-18,SHARED,2017-072,Video,WiS First,2007-10-04,Male,Unknown or not reported,Unknown or not reported,English,PA,253
16517,NA,2017-XX-XX,PRIVATE,2017-073,Video,Butterfly First,NA,Male,White,Unknown or not reported,English,PA,253
16518,NA,2017-XX-XX,PRIVATE,2017-074,Video,WiS First,NA,Female,Unknown or not reported,Not Hispanic or Latino,English,PA,253
16519,NA,2017-03-18,EXCERPTS,2017-075,Video,Butterfly First,2008-05-20,Male,White,Unknown or not reported,English,PA,253
16520,NA,2017-XX-XX,PRIVATE,2017-076,Audio,WiS First,NA,Male,White,Unknown or not reported,English,PA,253
16521,NA,2017-03-18,EXCERPTS,2017-077,Video,Butterfly First,2014-03-22,Male,White,Unknown or not reported,English,PA,253
16522,NA,2017-03-18,EXCERPTS,2017-078,Video,WiS First,2009-03-09,Male,Asian,Not Hispanic or Latino,English,PA,253
16523,NA,2017-XX-XX,PRIVATE,2017-079,Video,Butterfly First,NA,Female,Unknown or not reported,Unknown or not reported,English,PA,253
17094,NA,2017-04-24,EXCERPTS,2017-135,Video,WiS First,2011-09-12,Male,White,Unknown or not reported,English,PA,253
17095,NA,2017-04-24,EXCERPTS,2017-136,Video,Butterfly,2008-03-20,Male,NA,Unknown or not reported,English,PA,253
17096,NA,2017-04-24,EXCERPTS,2017-137,Video,WiS First,2013-04-12,Male,White,Not Hispanic or Latino,English,PA,253
17097,NA,2017-04-24,EXCERPTS,2017-138,Video,WiS First,2012-01-13,Female,NA,Unknown or not reported,English,PA,253
17098,NA,2017-04-24,EXCERPTS,2017-139,Video,Butterfly First,2012-01-19,Female,White,Not Hispanic or Latino,English,PA,253
18051,NA,2017-06-14,SHARED,2017-181,Video,Butterfly First,2008-08-26,Female,White,Not Hispanic or Latino,English,PA,253
18052,NA,2017-06-14,EXCERPTS,2017-183,Video,WiS First,2009-04-09,Female,White,Not Hispanic or Latino,English,PA,253
18373,NA,2017-XX-XX,PRIVATE,2017-164,Video,Wis First,NA,Male,Unknown or not reported,Unknown or not reported,English,NA,253
