session_id,session_name,session_date,session_release,participant_ID,participant_info,participant_description,participant_birthdate,participant_gender,participant_race,participant_ethnicity,participant_language,participant_state,vol_id
12938,NA,2016-XX-XX,NA,2016-183,Video,WiS First,NA,Female,White,Not Hispanic or Latino,English,PA,253
12939,NA,2016-XX-XX,PRIVATE,2016-184,Audio,WiS First,NA,Male,White,Hispanic or Latino,English,PA,253
12940,NA,2016-XX-XX,PRIVATE,2016-185,Video,WiS First,NA,Male,White,Not Hispanic or Latino,English,PA,253
12941,NA,2016-XX-XX,PRIVATE,2016-186,Audio,WiS First,NA,Female,White,Hispanic or Latino,English,PA,253
12942,NA,2016-XX-XX,NA,2016-190,Video,WiS First,NA,Male,White,Not Hispanic or Latino,English,PA,253
12951,NA,2016-07-09,EXCERPTS,2016-203,Video,WiS First,2009-03-18,Female,More than one,Not Hispanic or Latino,English,PA,253
12952,NA,2016-07-09,EXCERPTS,2016-204,Video,Butterfly First,2011-01-02,Male,White,Not Hispanic or Latino,English,PA,253
12953,NA,2016-07-09,EXCERPTS,2016-205,Video,WiS First,2009-02-05,Male,White,Not Hispanic or Latino,English,PA,253
12954,NA,2016-XX-XX,PRIVATE,2016-208,Video,Butterfly First,NA,Female,Black or African American,Not Hispanic or Latino,English,PA,253
13023,NA,2016-07-23,EXCERPTS,2016-215,Video,Butterfly First,2010-12-11,Female,More than one,Not Hispanic or Latino,English,PA,253
13024,NA,2016-07-23,EXCERPTS,2016-216,Video,WiS First,2008-12-29,Female,More than one,Not Hispanic or Latino,English,PA,253
13025,NA,2016-07-23,EXCERPTS,2016-217,Video,WiS First,2008-01-16,Male,White,Not Hispanic or Latino,English,PA,253
13027,NA,2016-XX-XX,PRIVATE,2016-219,Video,WiS First,NA,Female,White,Not Hispanic or Latino,English,PA,253
13028,NA,2016-XX-XX,PRIVATE,2016-220,Video,Butterfly First,NA,Male,White,Not Hispanic or Latino,English,PA,253
13029,NA,2016-07-23,EXCERPTS,2016-221,Video,WiS First,2007-07-07,Male,White,Not Hispanic or Latino,English,PA,253
13930,NA,2016-09-17,SHARED,2016-280,Audio,WiS First,2008-01-07,Female,White,Unknown or not reported,English,PA,253
13931,NA,2016-09-17,SHARED,2016-244,Audio,Butterfly First,2009-05-12,Female,White,Unknown or not reported,English,PA,253
13932,NA,2016-09-17,SHARED,2016-245,Video,WiS First,2006-12-06,Male,Asian,Unknown or not reported,English,PA,253
13933,NA,2016-09-17,SHARED,2016-246,Video,WiS First,2010-06-23,Male,Asian,Unknown or not reported,English,PA,253
13934,NA,2016-XX-XX,PRIVATE,2016-247,Audio,Butterfly First,NA,Male,White and Asian,Not Hispanic or Latino,English,PA,253
13935,NA,2016-XX-XX,PRIVATE,2016-248,Video,WiS First,NA,Female,NA,NA,English,PA,253
13936,NA,2016-09-17,EXCERPTS,2016-249,Video,Butterfly First,2011-10-07,Female,Black or African American,Not Hispanic or Latino,English,PA,253
13937,NA,2016-09-17,EXCERPTS,2016-250,Video,Butterfly First,2010-01-21,Female,Black or African American,Not Hispanic or Latino,English,PA,253
13938,NA,2016-09-17,EXCERPTS,2016-251,Video,WiS First,2008-06-06,Female,White,Not Hispanic or Latino,English,PA,253
13939,NA,2016-09-17,EXCERPTS,2016-252,Video,Butterfly First,2009-12-11,Female,White,Not Hispanic or Latino,English,PA,253
13941,NA,2016-09-17,EXCERPTS,2016-254,Video,WiS First,2007-04-27,Female,White,Not Hispanic or Latino,English,PA,253
13942,NA,2016-XX-XX,PRIVATE,2016-255,Video,WiS First,NA,Male,Asian,Not Hispanic or Latino,English,PA,253
13944,NA,2016-09-17,EXCERPTS,2016-257,Video,Butterfly First,2009-09-19,Female,White,Not Hispanic or Latino,English,PA,253
13945,NA,2016-09-17,EXCERPTS,2016-258,Video,WiS First,2007-03-26,Female,White,Not Hispanic or Latino,English,PA,253
13949,NA,2016-XX-XX,PRIVATE,2016-266,Video,WiS First,NA,Male,Unknown or not reported,Hispanic or Latino,English,PA,253
14117,NA,2016-09-30,EXCERPTS,2016-267,Video,Butterfly First,2007-11-13,Male,Asian,Unknown or not reported,English,PA,253
14118,NA,2016-09-30,EXCERPTS,2016-268,Video,Butterfly First,2009-09-13,Male,White,Hispanic or Latino,English,PA,253
